"Facility.ID","Facility.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.promoting.interoperability.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","MORT.Group.Measure.Count","Count.of.Facility.MORT.Measures","Count.of.MORT.Measures.Better","Count.of.MORT.Measures.No.Different","Count.of.MORT.Measures.Worse","Safety.Group.Measure.Count","Count.of.Facility.Safety.Measures","Count.of.Safety.Measures.Better","Count.of.Safety.Measures.No.Different","Count.of.Safety.Measures.Worse","READM.Group.Measure.Count","Count.of.Facility.READM.Measures","Count.of.READM.Measures.Better","Count.of.READM.Measures.No.Different","Count.of.READM.Measures.Worse","Pt.Exp.Group.Measure.Count","Count.of.Facility.Pt.Exp.Measures","TE.Group.Measure.Count","Count.of.Facility.TE.Measures","HAI_1_Score","HAI_2_Score","HAI_3_Score","HAI_4_Score","HAI_5_Score","HAI_6_Score"
"010001","SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301,"HOUSTON","(334) 793-8701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","7","7","1","5","1","8","8","2","6","0","11","11","0","10","1","8","8","12","9",0.660564310653959,0.300413067968457,1.09938434476693,0,0.849978750531237,0.66037476267782
"010005","MARSHALL MEDICAL CENTERS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL",35957,"MARSHALL","(256) 593-8310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","7","6","0","5","1","8","7","0","7","0","11","10","0","10","0","8","8","12","11",3.6734693877551,1.2012012012012,1.19426751592357,0,0,0.858450972911103
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",35630,"LAUDERDALE","(256) 768-8400","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","7","0","6","1","8","7","2","5","0","11","9","0","8","1","8","8","12","9",0.757193336698637,0.196129707112971,0.396353547364249,0,1.44092219020173,0.0884251481121231
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL",36467,"COVINGTON","(334) 493-3541","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","3","","7","3","0","3","0","8","2","0","2","0","11","6","0","6","0","8","8","12","5",0,2.58397932816537,0,NA,0,0.465549348230912
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL",36049,"CRENSHAW","(334) 335-3374","Acute Care Hospitals","Proprietary","Yes","Y","Not Available","16","7","2","0","2","0","8","1","0","1","0","11","4","0","4","0","8","Not Available","12","5",0,0,NA,NA,0,0
"010011","ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL",35235,"JEFFERSON","(205) 838-3122","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","2","","7","7","0","7","0","8","7","1","6","0","11","9","0","6","3","8","8","12","5",0.620925178515989,0.907088246728003,0,0,1.45878920495988,0.620006731501656
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL",35968,"DE KALB","(256) 845-3150","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","5","0","5","0","8","4","0","4","0","11","8","0","8","0","8","8","12","8",2.83687943262411,0,0,0,7.2992700729927,0.273298715496037
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL",35007,"SHELBY","(205) 620-8100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","4","","7","7","0","7","0","8","7","2","5","0","11","9","0","9","0","8","8","12","6",0.313381385145722,0.385988613335907,0.29585798816568,0,1.42734798743934,0.371037845860278
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD, SUITE 500","BIRMINGHAM","AL",35233,"JEFFERSON","(205) 325-8100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","Not Available","16","7","Not Available","Not Available","Not Available","Not Available","8","1","0","1","0","11","1","0","1","0","8","Not Available","12","2",NA,NA,NA,NA,0,0
"010019","HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",35660,"COLBERT","(256) 386-4556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","7","4","0","4","0","8","7","0","7","0","11","9","0","9","0","8","8","12","8",3.89105058365759,0.489396411092985,0,0,6.20347394540943,0.334196674743086
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL",36360,"DALE","(334) 774-2601","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","7","3","0","3","0","8","2","0","2","0","11","5","0","5","0","8","8","12","5",0,1.26262626262626,0,NA,0,0
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL",35960,"CHEROKEE","(256) 927-5531","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","Not Available","16","7","1","0","1","0","8","1","0","1","0","11","3","0","3","0","8","Not Available","12","3",0,0,NA,NA,0,0
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL",36116,"MONTGOMERY","(334) 288-2100","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","2","","7","7","0","6","1","8","7","0","6","1","11","11","1","10","0","8","8","12","7",1.65764172836778,1.69944837577311,1.60230732254446,2.7359781121751,3.00444658093979,0.971642435583705
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL",36106,"MONTGOMERY","(334) 293-8000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","2","","7","7","0","7","0","8","7","1","4","2","11","11","0","10","1","8","8","12","8",4.93400764771185,2.54661209640746,0.438981562774363,0,3.03819444444444,0.975121231288214
"010029","THE EAST ALABAMA HEALTHCARE AUTHORITY","2000 PEPPERELL PARKWAY","OPELIKA","AL",36801,"LEE","(334) 749-3411","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","2","","7","7","0","6","1","8","8","2","6","0","11","11","0","9","2","8","8","12","8",1.255930784259,0.730282375851996,0.830392360390284,4.15564790328674,1.8896447467876,0.501270461341676
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL",35233,"JEFFERSON","(205) 934-4011","Acute Care Hospitals","Government - State","Yes","Y","2","","7","7","0","6","1","8","8","3","3","2","11","11","0","9","2","8","8","12","10",1.05217010083297,0.52983710106383,0.417449384262158,1.27632418634333,2.00243333671297,0.38624388750829
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL",36078,"ELMORE","(334) 283-6541","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","4","","7","3","0","3","0","8","2","0","2","0","11","5","0","5","0","8","8","12","4",0,0,NA,NA,0,0
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL",35058,"CULLMAN","(256) 737-2000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","","2","","7","5","0","4","1","8","7","1","6","0","11","8","0","7","1","8","8","12","7",1.43472022955524,1.78424375514686,0.489715964740451,0,1.18063754427391,0.290592081365783
